tic,fyear,sale,ni,act,lct,invt,profit_margin,profit_margin_pct,quick_ratio,current_ratio
SPOT,2019,7590.444,-208.726,2503.59,2737.004,0.0,-0.027498523143046703,-2.7498523143046705,0.9147191600743003,0.9147191600743003
SPOT,2020,9498.442,-700.329,2851.943,3495.619,0.0,-0.07373093397843562,-7.373093397843562,0.8158620833677812,0.8158620833677812
SPOT,2021,10995.665,-38.669,4972.388,3669.013,0.0,-0.0035167495553929656,-0.35167495553929656,1.3552385886885656,1.3552385886885656
SPOT,2022,12533.14,-459.559,4651.166,3757.698,0.0,-0.0366675071051628,-3.6667507105162795,1.2377700389972799,1.2377700389972799
SPOT,2023,14642.51,-588.044,5814.117,4520.863,0.0,-0.04016005452617072,-4.016005452617072,1.2860635237121762,1.2860635237121762
SPOT,2024,16226.454,1178.186,8674.884,4607.141,0.0,0.0726089631166489,7.26089631166489,1.8829213171465775,1.8829213171465775
