tic,fyear,sale,ni,act,lct,invt,profit_margin,profit_margin_pct,quick_ratio,current_ratio
AAPL,2019,260174.0,55256.0,162819.0,105718.0,4106.0,0.21238094505984456,21.238094505984456,1.501286441287198,1.540125617208044
AAPL,2020,274515.0,57411.0,143713.0,105392.0,4061.0,0.20913611278072236,20.913611278072235,1.325072111735236,1.3636044481554577
AAPL,2021,365817.0,94680.0,134836.0,125481.0,6580.0,0.2588179335569424,25.88179335569424,1.0221149018576519,1.0745531195957954
AAPL,2022,394328.0,99803.0,135405.0,153982.0,4946.0,0.2530964070519973,25.309640705199733,0.8472353911496149,0.8793560286267226
AAPL,2023,383285.0,96995.0,143566.0,145308.0,6331.0,0.2530623426432028,25.30623426432028,0.9444421504665951,0.9880116717592975
AAPL,2024,391035.0,93736.0,152987.0,176392.0,7286.0,0.23971255769943867,23.971255769943866,0.8260068483831466,0.8673125765340832
