tic,fyear,sale,ni,act,lct,invt,profit_margin,profit_margin_pct,quick_ratio,current_ratio
MCD,2019,21076.5,6025.4,3557.9,3621.0,50.2,0.2858823808507105,28.588238085071048,0.9687103010218172,0.9825738746202707
MCD,2020,19207.8,4730.5,6243.2,6181.2,51.1,0.24628015701954414,24.628015701954414,1.0017634116352812,1.0100304148061865
MCD,2021,23222.9,7545.2,7148.5,4020.0,55.6,0.32490343583273407,32.49034358327341,1.7644029850746268,1.7782338308457712
MCD,2022,23182.6,6177.4,5424.2,3802.1,52.0,0.2664670916980839,26.646709169808393,1.4129559980011046,1.426632650377423
MCD,2023,25493.7,8468.8,7986.4,6859.0,52.8,0.3321918748553564,33.21918748553564,1.1566700685231082,1.164367983671089
MCD,2024,25920.0,8223.0,4599.0,3861.0,56.0,0.31724537037037037,31.724537037037038,1.1766381766381766,1.191142191142191
